event_type,scan_code,name,time
down,38,l,1770221182.5290005
up,38,l,1770221182.6445134
down,31,s,1770221182.8137765
up,31,s,1770221182.8938954
down,28,enter,1770221182.9732056
up,28,enter,1770221183.0525174
down,46,c,1770221184.4872534
up,46,c,1770221184.587329
down,32,d,1770221184.704537
down,57,space,1770221184.7912955
up,32,d,1770221184.7912955
up,57,space,1770221184.870081
down,50,m,1770221184.9883726
down,24,o,1770221185.1114848
up,50,m,1770221185.1114848
up,24,o,1770221185.1892178
down,32,d,1770221185.2211192
up,32,d,1770221185.285101
down,15,tab,1770221186.9312198
up,15,tab,1770221187.0260823
down,42,shift,1770221188.2439337
down,9,*,1770221188.461971
up,9,*,1770221188.561783
up,42,shift,1770221188.6566658
down,11,0,1770221188.831685
up,11,0,1770221188.9111829
down,7,6,1770221189.309815
up,7,6,1770221189.3930025
down,2,1,1770221189.520141
up,2,1,1770221189.6425989
down,42,shift,1770221190.0594482
down,9,*,1770221190.2034347
up,9,*,1770221190.2992125
up,42,shift,1770221190.410784
down,28,enter,1770221190.5878105
up,28,enter,1770221190.683083
down,38,l,1770221190.7939107
up,38,l,1770221190.9216666
down,31,s,1770221190.9394577
down,28,enter,1770221191.0942996
up,31,s,1770221191.0942996
up,28,enter,1770221191.179198
down,46,c,1770221193.475842
up,46,c,1770221193.5856097
down,57,space,1770221193.6657395
down,32,d,1770221193.7639713
up,57,space,1770221193.825554
up,32,d,1770221193.9225678
down,14,backspace,1770221194.1150923
up,14,backspace,1770221194.185675
down,14,backspace,1770221194.258753
up,14,backspace,1770221194.3228257
down,32,d,1770221194.3873088
up,32,d,1770221194.467273
down,57,space,1770221194.5489488
up,57,space,1770221194.6275134
down,46,c,1770221194.7482626
down,24,o,1770221194.869114
up,46,c,1770221194.869114
up,24,o,1770221194.9581633
down,22,u,1770221195.1088305
up,22,u,1770221195.2049792
down,19,r,1770221195.3326414
up,19,r,1770221195.4155567
down,15,tab,1770221197.4694862
up,15,tab,1770221197.6015391
down,28,enter,1770221200.1918964
up,28,enter,1770221200.3282652
down,38,l,1770221201.4321196
down,31,s,1770221201.5414863
up,38,l,1770221201.5870378
down,28,enter,1770221201.6990185
up,31,s,1770221201.7336779
up,28,enter,1770221201.858279
down,46,c,1770221207.5133402
up,46,c,1770221207.6607988
down,24,o,1770221207.7274163
up,24,o,1770221207.8370757
down,32,d,1770221207.8850784
up,32,d,1770221207.9497519
down,18,e,1770221208.1096594
up,18,e,1770221208.1902025
down,57,space,1770221208.2375636
up,57,space,1770221208.3181787
down,11,0,1770221208.5237808
up,11,0,1770221208.6193633
down,6,5,1770221208.7650058
up,6,5,1770221208.7946815
down,15,tab,1770221209.5452118
up,15,tab,1770221209.6401477
down,28,enter,1770221210.214712
up,28,enter,1770221210.3105364
down,50,m,1770221236.5213592
up,50,m,1770221236.6169002
down,24,o,1770221236.6829247
up,24,o,1770221236.783381
down,49,n,1770221236.8156028
up,49,n,1770221236.8864045
down,37,k,1770221237.0466516
up,37,k,1770221237.1632156
down,18,e,1770221237.2838
up,18,e,1770221237.344713
down,21,y,1770221237.4316556
up,21,y,1770221237.4972482
down,20,t,1770221242.8929563
up,20,t,1770221242.963077
down,18,e,1770221243.2311213
up,18,e,1770221243.2937264
down,38,l,1770221243.4860628
up,38,l,1770221243.5558355
down,38,l,1770221243.632064
up,38,l,1770221243.6878436
down,57,space,1770221243.8276496
up,57,space,1770221243.8878405
down,25,p,1770221244.036605
up,25,p,1770221244.141945
down,24,o,1770221244.3471632
up,24,o,1770221244.4166982
down,14,backspace,1770221244.737104
up,14,backspace,1770221244.8154852
down,19,r,1770221244.9436624
up,19,r,1770221245.0497975
down,24,o,1770221245.0803506
up,24,o,1770221245.159725
down,34,g,1770221245.2843783
up,34,g,1770221245.4711523
down,19,r,1770221245.5596561
up,19,r,1770221245.6908753
down,30,a,1770221245.9221506
up,30,a,1770221246.054204
down,50,m,1770221246.0709083
up,50,m,1770221246.141074
down,57,space,1770221246.2498708
up,57,space,1770221246.3243537
down,34,g,1770221246.4017699
up,34,g,1770221246.4906313
down,23,i,1770221246.510095
up,23,i,1770221246.595466
down,47,v,1770221246.6510522
up,47,v,1770221246.7383308
down,18,e,1770221246.8614554
up,18,e,1770221246.957641
down,57,space,1770221247.0012574
up,57,space,1770221247.0723612
down,24,o,1770221247.166751
up,24,o,1770221247.246608
down,49,n,1770221247.302719
up,49,n,1770221247.3818827
down,38,l,1770221247.511854
up,38,l,1770221247.5804024
down,21,y,1770221247.7509599
up,21,y,1770221247.8114386
down,57,space,1770221247.8817747
up,57,space,1770221247.9744844
down,20,t,1770221248.008794
up,20,t,1770221248.111719
down,35,h,1770221248.1308172
up,35,h,1770221248.2340312
