sample_idx,label_idx,character,seq_length,feature_mean,feature_std,feature_min,feature_max
0,18,s,10,-2.983637,18.414963,-249.98474,109.41315
1,37,ENTER,3,-0.88880605,14.653786,-248.7793,125.061035
2,2,c,10,-3.8633847,25.2092,-248.79456,166.16821
3,3,d,8,-0.07346047,27.65303,-250.0,167.96875
4,36,SPACE,1,1.0079492,6.5291705,-12.145995,55.336
5,12,m,8,-1.930864,28.103632,-250.0,187.50763
6,14,o,6,-0.48714843,6.6508393,-116.20331,50.78888
7,3,d,2,-0.14683342,2.4527416,-54.130554,4.638672
8,39,TAB,10,1.6878762,22.178005,-187.2406,125.61035
9,26,0,10,-1.8270624,13.584113,-124.95422,125.061035
10,32,6,10,0.12020758,8.713355,-62.5,42.663574
11,27,1,7,-0.5155288,11.035301,-73.95935,211.2732
12,37,ENTER,10,-0.58952814,16.127897,-186.48529,222.70966
13,11,l,6,-3.1149592,24.577501,-250.0,189.39209
14,18,s,6,-1.1058443,11.731059,-186.36322,31.49414
15,37,ENTER,4,-0.032781802,5.546304,-62.461853,33.87451
16,2,c,10,-2.5471232,22.08986,-249.96948,187.98828
17,36,SPACE,5,-0.81610537,10.7500105,-121.09375,74.157715
18,3,d,6,0.596437,13.262631,-124.3515,94.63501
19,38,BACKSPACE,10,-2.3890905,21.583485,-249.71771,72.32666
20,38,BACKSPACE,6,-1.4010655,14.775496,-249.88556,66.52832
21,3,d,4,-0.2710013,3.4942868,-54.19922,8.682251
22,36,SPACE,6,-0.86207396,14.802018,-249.78638,60.241695
23,2,c,7,-1.8641047,20.132183,-187.3703,189.26239
24,14,o,2,0.87560785,16.698893,-68.90869,222.76306
25,20,u,10,0.18305607,17.301043,-208.98438,172.97363
26,17,r,8,-0.7724919,15.766371,-124.97711,235.38971
27,39,TAB,10,3.0451202,24.213043,-218.4143,152.52686
28,37,ENTER,10,-0.77347434,13.126349,-245.73517,97.81647
29,11,l,10,-0.9675988,7.6008863,-107.23877,11.962891
30,18,s,2,-0.0111026,0.58000475,-6.439209,7.194519
31,37,ENTER,7,-0.6089763,7.8802595,-124.183655,24.810791
32,2,c,10,-1.0862002,16.33626,-250.0,117.43164
33,14,o,6,0.25112632,6.9867244,-60.49347,117.1875
34,3,d,6,-0.9854597,15.689531,-245.94879,37.15515
35,4,e,8,-1.4106559,23.453562,-249.75586,207.03125
36,36,SPACE,5,-1.6372365,22.355978,-248.99292,123.046875
37,26,0,10,-3.5811806,20.325546,-250.0,158.79822
38,31,5,9,-1.2091123,17.022625,-248.91663,67.17682
39,39,TAB,10,2.4285758,19.55484,-116.97388,97.335815
40,37,ENTER,10,-2.6839106,24.356894,-247.76459,101.623535
41,12,m,10,-0.58882403,4.8227234,-70.20569,13.671875
42,14,o,7,-1.3832002,13.713629,-198.05145,203.21655
43,13,n,5,-0.7198103,8.2224045,-123.97003,94.29932
44,10,k,8,-0.18401764,3.4996421,-30.296326,15.74707
45,4,e,8,-0.15157913,5.938102,-109.375,39.18457
46,24,y,5,-0.66473246,14.661173,-229.92706,140.89966
47,19,t,10,-0.12609354,9.510269,-62.431335,62.530518
48,4,e,10,-0.9080695,8.381958,-124.71008,56.762695
49,11,l,10,-0.8041792,18.731794,-234.3216,125.24414
50,11,l,6,-1.0678293,13.928221,-123.0011,235.36682
51,36,SPACE,7,-2.181031,17.549667,-203.08685,135.74982
52,15,p,8,-1.3204178,17.82424,-249.46594,226.6922
53,14,o,10,-2.1594138,17.318775,-249.87793,65.979004
54,38,BACKSPACE,10,-1.4518014,19.896507,-249.91608,69.95392
55,17,r,9,-2.9864767,17.641409,-217.8421,86.94458
56,14,o,4,-1.202836,16.251543,-185.4248,125.48828
57,6,g,7,-1.1147351,16.791153,-226.5625,235.12268
58,17,r,10,-1.1310915,19.019957,-248.04688,125.03052
59,0,a,10,0.8363172,22.719059,-226.51672,109.86327
60,12,m,5,-2.8989599,20.826326,-240.7074,66.833496
61,36,SPACE,7,-4.016577,23.71148,-242.0578,75.538635
62,6,g,5,-2.5491211,20.515816,-248.55804,188.67493
63,8,i,2,-0.738001,16.422716,-250.0,189.46075
64,21,v,6,-1.6087707,19.07675,-247.98584,70.3125
65,4,e,9,0.8451605,17.721628,-186.70654,77.45361
66,36,SPACE,4,-1.9604621,22.327103,-231.4148,141.60156
67,14,o,7,-2.5563138,19.941854,-217.55219,127.99072
68,13,n,4,-0.2862272,11.786536,-250.0,49.072266
69,11,l,8,-1.3523117,15.346689,-240.07416,113.28125
70,24,y,8,-5.7522707,26.399956,-247.49756,189.69727
71,36,SPACE,5,0.07639527,13.676885,-249.87793,126.34277
72,19,t,4,1.1214637,8.631448,-50.659176,78.46069
73,7,h,4,-0.2752463,15.414738,-210.92987,142.94434
74,0,a,9,0.24593444,23.640177,-249.70245,156.26526
75,19,t,4,-0.18804668,15.259785,-124.96948,204.13208
76,36,SPACE,6,-0.37877595,13.700835,-124.74823,220.70312
77,0,a,4,-0.22528991,5.210458,-90.675354,33.927917
78,11,l,4,-1.2824543,15.90217,-208.98438,63.804626
79,11,l,5,-0.23354135,8.154111,-91.789246,41.038513
80,36,SPACE,6,-0.68823886,16.260927,-234.14612,207.27539
81,0,a,6,-1.1022965,21.02299,-249.64142,127.99072
82,6,g,4,-1.2644668,24.306765,-249.71008,238.28125
83,0,a,4,-0.10298529,14.618513,-206.92444,132.8125
84,8,i,4,-1.251739,14.989409,-124.84741,85.083
85,0,a,9,-1.0290626,18.260473,-240.21149,210.9375
86,13,n,2,0.8242972,17.184425,-171.85211,235.54993
87,36,SPACE,6,-0.91602325,11.104807,-158.1955,62.5
88,18,s,9,-1.3662273,18.231316,-248.90137,54.80957
89,4,e,10,-0.88637435,18.827345,-236.2976,156.38733
90,4,e,7,0.4322472,17.65417,-108.87146,125.97656
91,36,SPACE,10,-1.0133494,31.829527,-249.37439,228.51562
92,12,m,6,-2.0523894,14.569229,-233.73413,17.822266
93,8,i,6,-1.598209,10.29848,-124.79401,23.117065
94,6,g,7,-0.8620406,7.0750155,-62.438965,40.710445
95,7,h,4,-1.5892158,18.129902,-248.87848,157.23419
96,19,t,10,-1.6453986,14.730229,-218.74237,58.09784
97,36,SPACE,9,0.1889141,14.227432,-124.99237,70.86182
98,6,g,10,0.39644134,16.140478,-179.03137,187.56866
99,4,e,8,0.09994896,14.896848,-171.82922,125.36621
100,19,t,8,-4.812972,29.829245,-249.24469,231.68945
101,36,SPACE,8,-0.7119337,23.336681,-250.0,187.5
102,11,l,6,0.3844355,21.663162,-249.95422,105.46875
103,0,a,4,-1.1876123,16.402225,-239.21967,33.111572
104,19,t,10,-1.7693661,29.552021,-249.93134,172.24121
105,4,e,4,0.85429543,15.568518,-155.27344,133.78906
106,36,SPACE,8,-3.17572,23.2983,-239.51721,93.99414
107,18,s,9,0.1553355,18.667557,-187.47711,125.03052
108,19,t,9,-7.064911,38.404404,-249.82452,145.14923
109,8,i,4,-2.0482235,28.154764,-249.95422,171.14258
110,11,l,7,1.4444425,21.29279,-249.01581,208.98438
111,11,l,6,-0.36879498,14.223552,-245.90302,62.530518
112,36,SPACE,6,0.6372688,3.3918731,-23.422241,27.58789
113,0,a,10,-1.6513374,27.10988,-250.0,187.62207
114,11,l,4,0.06911314,4.0495877,-61.027527,32.226562
115,18,s,4,-1.6900403,14.469609,-238.28125,62.5
116,14,o,6,-4.5866375,31.369804,-250.0,130.90515
117,36,SPACE,6,-1.9486897,17.433455,-249.76349,117.43164
118,12,m,7,-1.7010157,15.985338,-234.36737,39.0625
119,0,a,4,-0.25706774,8.350579,-93.4906,125.0
120,24,y,4,-0.09967404,9.720867,-112.77008,61.569214
121,36,SPACE,9,0.52997035,15.188001,-100.57831,234.375
122,12,m,6,-2.318744,12.856626,-187.27112,8.605957
123,4,e,2,-0.021696728,1.4182324,-23.42987,12.6953125
124,0,a,10,-1.8760949,29.410337,-248.58093,187.53815
125,13,n,2,-1.0563022,10.069966,-156.1737,31.433105
126,36,SPACE,8,-0.71331996,18.163185,-234.30634,110.3363
127,11,l,7,-0.6219307,4.028416,-31.188965,14.282226
128,4,e,2,-0.28235173,5.6705494,-62.5,78.186035
129,0,a,6,-0.71216995,22.571474,-238.95264,144.60754
130,21,v,5,-1.5038253,22.29208,-249.63379,109.61914
131,4,e,2,-1.1539822,18.071074,-249.54224,125.97656
132,36,SPACE,9,-1.4250985,31.439213,-249.9466,211.33423
133,5,f,5,-3.7764544,27.419739,-249.95422,171.90552
134,14,o,3,0.05275114,19.508715,-247.94006,187.64496
135,11,l,9,1.4268155,17.192366,-212.89062,190.979
136,11,l,4,0.6810222,4.7775598,-27.030945,40.985107
