t_ms,ax,ay,az,gx,gy,gz,mx,my,mz
823644,0.011975098,-0.43948612,9.889036,0.0,0.0,0.0,-26.0792768,12.121354,26.125938
823657,-0.041912844,-0.4155359,9.890234,0.0,0.0,0.0,-27.915404,12.48847,22.715602
823698,0.07903565,-0.3784131,9.924961,0.5493164,1.89208976,-1.7700194,-24.977336,13.59061,24.990028
823709,0.101788332,-0.401165784,9.935739,0.42724606,2.0751952,-2.1972656,-26.446592,12.488668,22.3395716
823751,0.170046384,-0.34608032,10.090218,0.18310546,-0.42724606,-5.4931636,-27.180786,10.284622,24.987164
823793,0.6466553,-0.4143384,10.003997,0.488281232,-3.78417952,-7.141113,-27.180786,10.284622,24.987164
823805,3.5194814,-0.50774416,10.10818,-0.30517578,-2.0141602,-14.770507,-25.711964,9.917472,24.990028
823817,3.5578018,0.8921448,10.7380708,1.0986328,0.793457,-10.31494,-26.446592,11.019413,24.232754
823859,1.0633887,-0.07783814,10.65664,0.5493164,1.0986328,5.3710932,-28.649556,11.386362,29.14835
823900,2.6153614,-0.32452516,10.212363,-2.1362304,-2.6245114,1.2817382,-28.650936,10.652271,23.478172
823912,0.8035291,-0.32452516,9.975257,-2.0141602,1.3427733,6.347656,-25.711964,10.284785,24.611392
823954,-1.3795313,-1.2022998,11.63261,0.67138664,-2.319336,10.31494,-27.548532,10.6521,24.232754
823995,-0.037122804,-0.84544192,7.3718708,0.488281232,0.3662109,3.4790036,-28.283162,8.815531,26.8832132
824006,-1.9998414,-0.3424878,9.210048,2.1362304,-0.42724606,4.1503908,-29.751942,8.448082,21.579822
824047,-1.289718,0.7220984,9.941727,-0.3662109,-4.5776368,-0.18310546,-29.017788,7.713589,22.718208
824088,-0.98914312,-0.62510016,9.884246,0.61035156,-2.868652,2.7465818,-27.915846,9.182844,21.960934
824130,-1.2969031,-0.2311194,9.352551,-0.18310546,-2.319336,1.2207031,-28.650936,10.652271,28.022336
824141,-1.1759547,-0.44307864,9.960887,0.3662109,-3.78417952,6.04248,-30.854854,9.182993,26.886296
824182,0.232316916,-0.35685792,9.965676,0.3662109,-8.911133,1.8310546,-27.548096,9.917315,26.122944
824223,0.366438,-0.4167334,9.866283,0.18310546,-2.1362304,0.5493164,-29.752896,9.182993,21.584772
824264,0.238304452,-0.3772156,9.896221,0.122070308,1.4648436,0.122070308,-30.854356,10.284785,22.718208
824275,0.25866212,-0.35087036,9.845925,0.244140616,2.319336,0.3662109,-29.385102,10.284785,25.747302
824316,0.18082398,-0.4155359,9.939331,0.30517578,0.18310546,0.42724606,-28.650936,11.38691,24.235532
