t,ax_k,ay_k,az_k
0.0,0.011975098,-0.43948612,9.889036
1.0,-0.016239707367992254,-0.42694619416982826,9.889663252323551
2.0,0.020353486674694936,-0.4083056875214095,9.903220350041959
3.0,0.04691599325923192,-0.4059767860107258,9.913827318719559
4.0,0.08371065031692004,-0.38807811848783913,9.966537576413373
5.0,0.24421472521470108,-0.3955653238339376,9.977217827362308
6.0,1.1548645933797088,-0.4267553466653534,10.013630338796949
7.0,1.814064305694109,-0.06494040000012186,10.212366677931517
8.0,1.6096004270220317,-0.06845339806010367,10.33337480172243
9.0,1.882498786329045,-0.13793468195933944,10.300540039752043
10.0,1.5903313951413773,-0.18846033979786223,10.21245869851873
11.0,0.7870123498632647,-0.4626940774609726,10.596595847189873
12.0,0.5642204926991998,-0.5661638812487102,9.72484261746888
13.0,-0.12871972054953806,-0.5057152033597532,9.585718872826092
14.0,-0.4424292149532631,-0.17395176188909006,9.681914648096498
15.0,-0.5901420702231389,-0.29584443266302307,9.736581159089528
16.0,-0.7810880734904179,-0.27835763616796116,9.63282752678273
17.0,-0.8877667574436175,-0.3228592950282737,9.721457333688807
18.0,-0.5851646442776979,-0.3320443728979922,9.787435515723303
19.0,-0.3280812191650467,-0.3549238229371082,9.808736824038556
20.0,-0.17506795882954315,-0.3609461106832813,9.832371318470752
21.0,-0.05789281740974826,-0.3582240778595258,9.83603293805276
22.0,0.006598086374602977,-0.37370724137157213,9.863939584951657
23.0,0.05496038405939139,-0.37724316665128316,9.88204260635663
24.0,0.1232558049339044,-0.38435304986982466,9.903666293485147
25.0,0.14721959331677056,-0.3688372004694532,9.90165490083284
26.0,0.1724737646091976,-0.3542779079344595,9.908274836084477
27.0,0.20287540522062117,-0.3708271358770631,9.882695948586665
28.0,0.20306485572186472,-0.38452305773362183,9.88990832306412
29.0,0.20255609653068757,-0.3757550951354307,9.891290084830421
30.0,0.225477841840908,-0.3790612952120774,9.904268636589336
31.0,0.22926654665469645,-0.381474304784468,9.894330228003104
32.0,0.24497229779711346,-0.39197030999956284,9.91069325803994
33.0,0.24284742144648497,-0.39089586902660967,9.89998986935801
34.0,0.22932655110230132,-0.38720005936666074,9.893795492865836
35.0,0.2249581761867534,-0.3893554144249168,9.892186039160407
36.0,0.22629915160603334,-0.3961047231703351,9.889393964130786
37.0,0.22080756158105672,-0.3952074016979066,9.87926824884295
38.0,0.22229930972471315,-0.3874351691169912,9.8870832605139
39.0,0.2182118165961716,-0.37917453532586554,9.88405203743717
40.0,0.23496298310806163,-0.3682928496929862,9.897044920177228
41.0,0.2277778320136667,-0.3762031279398882,9.898116381278136
42.0,0.23418032567076313,-0.37259447637291815,9.891134090977628
43.0,0.2391766633617514,-0.37481344322087906,9.910948673759226
44.0,0.2418526623915056,-0.3777270014520383,9.89597049104038
45.0,0.24154111976314463,-0.38664725335893646,9.881156612660993
46.0,0.24746052339170255,-0.37633487924911446,9.885226350478668
47.0,0.23463448350123217,-0.3823960782865277,9.883020430324747
48.0,0.22721456655255787,-0.37614382111934147,9.891762839242222
49.0,0.2483273916088468,-0.37708039296913687,9.890702519540339
50.0,0.24885478202633632,-0.37485231933302643,9.897693211477891
51.0,0.24632806121864131,-0.3758142863493218,9.912500686474722
52.0,0.28201165494073244,-0.3668109290421969,9.897426865021721
53.0,0.349464988709409,-0.377062647030645,9.933334714387861
54.0,0.3000233981484835,-0.3745158501032132,9.929455078189067
55.0,0.20829422779858128,-0.3729806036529432,9.92500585441249
56.0,0.2607231931859608,-0.3472729968099326,9.891671859073442
57.0,0.23072654052287817,-0.3624795051393366,9.963103630970396
58.0,-0.19103051513454128,-0.44313353316472304,10.344575648389695
59.0,-0.15786277373321245,-0.4075320846577829,10.01801793853047
60.0,-0.22229853858524085,-0.23629047791754956,10.167252516730953
61.0,-0.027984604219968734,-0.5192629064460939,9.975301795942473
62.0,0.30114924931169557,-0.5879713072231416,9.818708504420602
63.0,-0.058430762214152776,-0.4863893115241123,9.87944137567047
64.0,0.1889912106829919,-0.532274287387974,9.790802210597038
65.0,0.1046120457072873,-0.4958839616098715,10.423283772250473
66.0,0.5965621186468082,-0.5032937625291762,11.12559164778357
67.0,0.4066043478204109,-0.26638923022505245,10.45669063562329
68.0,-0.04034466850302815,-0.22224478931486852,9.865943117280532
69.0,0.5774682967150289,-0.2175249956832742,9.843712471233975
70.0,1.3366847607789851,-0.30304683596688387,10.217322986041594
71.0,1.2722340631741285,-0.3353775439747276,9.92093768954898
72.0,1.0194397657496106,-0.34829793123054287,9.923642307256298
73.0,0.8465859420857026,-0.35190452443127684,9.917204942032622
74.0,0.7081360969529095,-0.363595187502934,9.904742381483018
75.0,0.5938252294374303,-0.36015749630802124,9.9192629046549
76.0,0.5256013495353417,-0.3644423315163194,9.903656006053145
77.0,0.47386748599511663,-0.3737163761987262,9.899059458566581
78.0,0.4390214804822214,-0.3691619595340743,9.902821800244707
79.0,0.41261879498140064,-0.37295527706207915,9.90653839321656
80.0,0.39529004757039043,-0.3692535109907237,9.901810012966486
81.0,0.3690551541778503,-0.36816936574014625,9.866978228754475
82.0,0.3702892077140729,-0.3625253902859694,9.872937272676497
83.0,0.3576022538800096,-0.3632588886380036,9.892167998797118
84.0,0.3606363205145268,-0.3667058634429059,9.885175005577787
85.0,0.3612331386725426,-0.37213325218116666,9.902393950546976
86.0,0.35681600175894884,-0.3770649397318172,9.907196801041673
87.0,0.37494415849087476,-0.36675317445336414,9.896790707666417
88.0,0.3668229044022634,-0.3789615891975442,9.903107309031922
89.0,0.35895456572033335,-0.3826955918588986,9.898658995454078
90.0,0.343182952588368,-0.3818621621446437,9.895735636313523
91.0,0.35949441177105734,-0.3922533852611949,9.895219844263494
92.0,0.349400221650046,-0.39045543481547806,9.896460983974016
93.0,0.34494467528310696,-0.3836434581400139,9.903190039228834
94.0,0.35625098418044504,-0.37381906050093705,9.892248972206332
95.0,0.3590030697845325,-0.3828245220952496,9.882322630022164
96.0,0.3477475596922205,-0.38713250380495,9.882842240369405
97.0,0.3369446828500275,-0.36989522890354287,9.894220884919939
98.0,0.3504122393980881,-0.3721963846921727,9.900584445580169
99.0,0.34730086667794535,-0.36772908570816787,9.896494160156182
